File,Satisfiable_i15,Time (s)_i15,Satisfiable_i16,Time (s)_i16,Satisfiable_output_standard,Time (s)_output_standard,Satisfiable_i14,Time (s)_i14,Satisfiable_i17,Time (s)_i17,Satisfiable_i13,Time (s)_i13,Selection
00d1fe07ab948b348bb3fb423b1ef40d-lec_mult_KvW_12x11.sanitized.out,UNKNOWN,3583.76,UNKNOWN,3583.13,UNKNOWN,3580.16,UNKNOWN,3583.32,UNKNOWN,3585.14,UNKNOWN,3573.16,Not Selected
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12.out,UNSATISFIABLE,11.88,UNSATISFIABLE,33.48,UNSATISFIABLE,13.87,UNSATISFIABLE,11.63,UNSATISFIABLE,9.77,UNSATISFIABLE,10.93,Selected
0265448c232e3a25aa5bcd29b1b14567-x9-10051.sat.sanitized.out,UNSATISFIABLE,260.06,UNSATISFIABLE,188.72,UNSATISFIABLE,263.34,UNSATISFIABLE,257.37,UNSATISFIABLE,207.36,UNSATISFIABLE,239.46,Selected
02e4f23ed59566d343b605dc2cc30a01-REGRandom-K4-L3-Seed40.sanitized.out,UNKNOWN,3584.88,UNKNOWN,3583.93,UNKNOWN,3583.15,UNKNOWN,3583.97,UNKNOWN,3585.99,UNKNOWN,3575.5,Not Selected
02f6ca52f1ada872d82035088701b66a-linked_list_swap_contents_safety_unwind69.out,UNSATISFIABLE,140.42,UNSATISFIABLE,180.55,UNSATISFIABLE,97.03,UNSATISFIABLE,126.75,UNSATISFIABLE,148.85,UNSATISFIABLE,192.1,Selected
04ded94454830d4ea960327e8b91f5a3-mdp-28-14-sat.out,SATISFIABLE,642.25,SATISFIABLE,990.56,SATISFIABLE,629.45,SATISFIABLE,614.56,SATISFIABLE,102.4,SATISFIABLE,590.29,Selected
04e219c640ed59dc68ea2d50493de5b5-mp1-Nb5T15.out,SATISFIABLE,193.17,SATISFIABLE,61.73,SATISFIABLE,204.06,SATISFIABLE,2891.21,UNKNOWN,3585.73,SATISFIABLE,26.4,Selected
05c8e94aaee86390eaf6e68dd3ec3570-noL-11-2.sanitized.out,SATISFIABLE,586.86,SATISFIABLE,64.57,SATISFIABLE,696.26,UNKNOWN,3582.07,SATISFIABLE,2083.99,UNKNOWN,3573.62,Selected
05ed64e4e6229f446082752936768489-stb_495_168.apx_2_DC-AD.out,UNSATISFIABLE,262.72,UNSATISFIABLE,189.12,UNSATISFIABLE,230.56,UNSATISFIABLE,223.34,UNSATISFIABLE,193.93,UNSATISFIABLE,241.62,Selected
07b476c83150d3cb7e08f5d045e255ab-marg5x5.shuffled-as.sat03-1455.out,UNKNOWN,3584.58,UNKNOWN,3587.02,UNKNOWN,3583.42,UNKNOWN,3584.14,UNKNOWN,3586.25,UNKNOWN,3580.77,Not Selected
07c50b89d97a55b6e1629999a445a2ba-ctl_4201_555_unsat_pre.out,UNSATISFIABLE,1784.42,UNSATISFIABLE,1663.69,UNSATISFIABLE,1589.58,UNSATISFIABLE,1715.5,UNSATISFIABLE,1470.8,UNSATISFIABLE,1538.32,Selected
07e6413459f92b613498a719125b6239-j3037_10_mdd_bm1.out,UNSATISFIABLE,46.56,UNSATISFIABLE,46.62,UNSATISFIABLE,47.38,UNSATISFIABLE,41.5,UNSATISFIABLE,39.09,UNSATISFIABLE,40.4,Selected
0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12.out,SATISFIABLE,103.79,SATISFIABLE,121.58,SATISFIABLE,92.3,SATISFIABLE,89.17,SATISFIABLE,118.56,SATISFIABLE,123.63,Selected
