File,Satisfiable,Time (s)
dacb03ea801d459ef08db23a8b1d104f-lec_mult_DvW_12x12.sanitized.out,UNKNOWN,3580.92
461df1a7056560279d532bc2743022b6-Folkman-185-75415683.sanitized.out,SATISFIABLE,423.69
5ee7de2bd112aa39485e79c9d487bf8f-simon-r23-1.sanitized.out,SATISFIABLE,0.01
d7627176604d5b86f34d2f5d14d8ee99-worker_40_80_40_0.9.out,UNKNOWN,3584.92
2b043efb4bde6d83f7c95a8e8e2d7bf8-simon-r21-0.sanitized.out,SATISFIABLE,0.01
8ffd718f763ed7a3f691cf46e57f8d98-mdp-32-10-sat.out,SATISFIABLE,89.69
7fca438c38e5b7a70e38778ec146cfe0-ctl_4291_567_2_unsat-sc2013.out,UNSATISFIABLE,1924.42
7f7109dce621ef361a72b3e8cee9a962-Break_unsat_06_07.xml.out,UNSATISFIABLE,1.97
1507d9812624b3e0eaf15e40100be020-x9-12014.sat.sanitized.out,SATISFIABLE,20.17
88e89266e58f1f125ebc4e0f66e2c060-32_200.sanitized.out,SATISFIABLE,157.24
1165e12b6addad01b491c4616306186c-mulhs016-sc2009.out,UNKNOWN,3583.23
7cbc3ce2052ba7c5b501f75af58ab3c4-simon-r22-1.sanitized.out,SATISFIABLE,0.0
04ded94454830d4ea960327e8b91f5a3-mdp-28-14-sat.out,SATISFIABLE,642.25
71a3dd6156463c0c55c4b38394faa753-af-synthesis_stb_50_120_4_sat.out,SATISFIABLE,434.52
c03f7f84f6ac9e523c17e391c3895183-linked_list_swap_contents_safety_unwind68.out,UNSATISFIABLE,302.63
3a75ad246dbc750a7391ad887c5b0835-x9-11093.sat.sanitized.out,SATISFIABLE,79.93
305ad7d773d6c72be9b1efbf7bf482e0-asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.out,UNSATISFIABLE,675.57
ea827f81bd0e9735739adc0d9da1b446-ER_500_30_3.apx_2_DC-AD.out,UNSATISFIABLE,849.41
1009c791cee542cdf19651fe25e6881a-summle_X4053_steps8_I1-2-2-4-4-8-25-100.out,SATISFIABLE,30.94
6f7a0e1cf94b6b26eafc08a827a692ce-circuit_64in64out_with_64gates_8in5out_dist256_seed1.sanitized.out,SATISFIABLE,52.07
994783ef4ed3a0366842e1b6f9128a6f-noL-11-6.sanitized.out,SATISFIABLE,416.02
47e1ada0070708c2953d322c06aea00d-noL-11-8.sanitized.out,SATISFIABLE,2125.23
a5fc113e7d4899f4e4af14b87b6fd6ae-Kakuro-easy-097-ext.xml.hg_4.out,UNSATISFIABLE,2958.52
aaa3654cc92d80da84ecf5d18040c634-linked_list_swap_contents_safety_unwind62.out,UNSATISFIABLE,280.63
2d6d26e1c5b4f2763c03697a6d00d3cf-fixedbandwidth-eq-31_shuffled.out,UNSATISFIABLE,2060.57
b3f53d4c67b234d27e21f5e56bfd39e8-StConn_8_32.sanitized.out,UNSATISFIABLE,750.13
282a02a1743eb47c6b340e52ecce40a2-lru_6.sanitized.out,SATISFIABLE,47.49
30f0db845937bbda3ffde60e5ed4cb3f-Folkman-190-66337703.sanitized.out,SATISFIABLE,280.12
9e749596a8de36d8ab706c96cf128455-WS_500_16_70_10.apx_2_DC-AD.out,UNSATISFIABLE,747.54
7429e380834066c206394139c9e1e17d-af-synthesis_stb_50_100_9_sat.out,SATISFIABLE,149.97
a08e66296d00f480e9ccadd79fa8b904-j3045_4_gmto_b.out,SATISFIABLE,849.18
5411047bc24f4321f0e490e01e4a0910-goldcrest-and-9.out,UNSATISFIABLE,146.62
8530c911b75ab1b276042043d118a875-constraints_16_0.4_1.sanitized.out,UNSATISFIABLE,114.92
b172b4c218f1e44e205575d2b51e82c4-Schur_161_5_d38.out,UNKNOWN,3582.14
6008b958ff6877f32c26b72728df4523-linked_list_swap_contents_safety_unwind76.out,UNSATISFIABLE,960.45
761651d4b6454108403bdefe22720fb3-constraints_18_0.5_2.sanitized.out,UNSATISFIABLE,847.96
697c96ac45534726c7dbd96faa11a86a-x9-11094.sat.sanitized.out,SATISFIABLE,592.46
44fd38bd0c5fc7336be468161dee4eda-post-cbmc-aes-ee-r3-noholes.out,UNSATISFIABLE,570.79
0a02751cacf5e1cdfcc842a7f220199f-hwmcc17miters-xits-iso-bobsmfpu.sanitized.out,UNSATISFIABLE,0.17
eed5189b73738270ae3fdb8b33bf31c8-Folkman-180-11710376.sanitized.out,SATISFIABLE,283.16
9e85aad5707405fb349c6c5548040cf4-pcmax-scheduling-m35-32274-371389-SAT.sanitized.out,UNKNOWN,3582.86
12b4a08e412a3bffb513ca65639c7c69-Folkman-175-7416734.sanitized.out,SATISFIABLE,85.9
8704094951693f99fd21403a039c8131-mchess_16.out,UNSATISFIABLE,656.69
35789168b67a74985804902008251269-tseitingrid6x200_shuffled.out,UNKNOWN,3583.83
1b0f4ff7984b8d4cf2873200fb1680fb-af-synthesis_stb_50_140_1_unsat.out,UNSATISFIABLE,1973.08
3ed56242f55e3653dbceeb4a70221787-rbsat-v945c61409gyes9-sc2009.out,SATISFIABLE,88.4
e7248b57a310ad461924eb17956cdf3a-Folkman-190-358004741.sanitized.out,SATISFIABLE,402.26
0bad2ce307bf5b68db26fa34e252c9d4-af-synthesis_stb_50_100_4_sat.out,SATISFIABLE,439.17
08ccc34df5d8eb9e9d45278af3dc093d-simon-r16-1.sanitized.out,SATISFIABLE,0.0
e481a97a93fd6b4303f39024d19c2867-j3037_1_gmto_b.out,SATISFIABLE,131.3
43e492bccfd57029b758897b17d7f04f-pb_300_09_lb_07.out,SATISFIABLE,13.86
02066c116dbacc40ec5cca2067db26c0-mrpp_4x4#12_12.out,UNSATISFIABLE,11.88
39277cab188349aee0f229cb7341b5c5-crafted_n12_d6_c4_num23.out,UNSATISFIABLE,291.15
32585e66749f42e161e94fc49fd64750-pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.out,UNSATISFIABLE,251.13
29ab150158d641568f888e8401d2ac13-bmc_QICE_snp_vld_30.out,UNSATISFIABLE,709.91
96a6796405061571e12d383efe27b703-WS_500_16_70_10.apx_1_DC-ST.out,UNSATISFIABLE,430.49
0d3fcbb89bfb8e821058ba3ea4284de1-j3045_10_gmto_b.out,SATISFIABLE,1145.84
4517202fdd0ccc8a97d83684b021ea96-VanDerWaerden_2-3-14_186.out,UNKNOWN,3582.79
a6ed647f85f20be4aedd1e9ce31cbdcd-1-ET-256-K-55.sanitized.out,UNKNOWN,3582.64
0cfe9c90d3a51435a5e4dba7634b882f-g2-ak128boothbg2msisc.out,SATISFIABLE,0.62
9e6c2e7b0d6f58e449716deb9305525a-circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.out,SATISFIABLE,1607.67
fae08ac5b6d7eeb4f56f1cfac6c51703-j3045_4_mdd_bm1.out,UNSATISFIABLE,518.14
b8f5fc2425facb3aec52a665f32a500c-asconhashv12_opt64_H6_M2-PgbpwX_m0_4_U1.c.out,UNSATISFIABLE,255.21
3129198788f182ce6955b18aa3c7e61e-simon-r24-1.sanitized.out,SATISFIABLE,0.01
475803537529d9d14a034957f48a6d38-x9-09076.sat.sanitized.out,UNSATISFIABLE,39.12
